gene	symbol	biotype
ENSG00000223972.5	DDX11L1
G013702	Unknown
ENSG00000254795.1	OR5AP1P
ENSG00000172464.2	OR5AP2
ENSG00000172459.3	OR5AR1
ENSG00000279911.1	OR5AR1
ENSG00000232511.3	OR2AH1P
ENSG00000238041.3	RP11-59K5.1
ENSG00000174914.1	OR9G1
ENSG00000254953.1	RP11-100N3.2
ENSG00000181325.7	OR9G3P
ENSG00000172457.5	OR9G4
ENSG00000274770.1	MIR6128
ENSG00000254825.1	OR9G2P
ENSG00000181296.3	OR5G1P
G013711	Unknown
ENSG00000255485.1	OR5G4P
ENSG00000205025.8	OR5G5P
ENSG00000241356.1	OR5G3
ENSG00000255433.5	AP000479.1
ENSG00000274150.1	FADS2P1
G013717	Unknown
ENSG00000181282.4	OR5AK3P
G013720	Unknown
ENSG00000181273.2	OR5AK2
ENSG00000255083.1	OR5AK1P
ENSG00000273228.1	OR5BQ1P
ENSG00000224196.1	OR5AK4P
OR5AK4P	OR5AK4P
ENSG00000272676.1	OR5AO1P
ENSG00000273255.1	OR5BP1P
ENSG00000281575.1	AP001786.1
ENSG00000183908.5	LRRC55
G013723	Unknown
G013722	Unknown
ENSG00000134817.10	APLNR
G013724	Unknown
G013725	Unknown
G013726	Unknown
ENSG00000149115.13	TNKS1BP1
ENSG00000254662.1	RP11-872D17.4
ENSG00000149136.7	SSRP1
ENSG00000109991.8	P2RX3
G013731	Unknown
ENSG00000266018.1	AP000781.1
ENSG00000156575.2	PRG3
ENSG00000186652.9	PRG2
ENSG00000254979.5	RP11-872D17.8
ENSG00000134802.17	SLC43A3
G013735	Unknown
G013736	Unknown
ENSG00000252070.1	RNA5SP341
ENSG00000222998.1	RN7SKP259
ENSG00000186907.7	RTN4RL2
ENSG00000255301.1	RP11-624G17.3
G013740	Unknown
ENSG00000149150.8	SLC43A1
G013741	Unknown
ENSG00000280581.1	Y_RNA
ENSG00000265566.2	RN7SL605P
ENSG00000134809.8	TIMM10
G013742	Unknown
ENSG00000214872.8	SMTNL1
ENSG00000156587.15	UBE2L6
G013744	Unknown
ENSG00000240371.1	RPS4XP13
ENSG00000149131.15	SERPING1
G013747	Unknown
G013748	Unknown
XLOC_009135	NotAvail
G013749	Unknown
ENSG00000254602.1	AP000662.4
ENSG00000208009.1	MIR130A
ENSG00000166793.10	YPEL4
ENSG00000172409.5	CLP1
ENSG00000156599.10	ZDHHC5
ENSG00000156603.14	MED19
ENSG00000213593.9	TMX2
ENSG00000198561.12	CTNND1
ENSG00000254462.1	TMX2-CTNND1
ENSG00000213592.4	AP000662.9
ENSG00000211450.9	C11orf31
ENSG00000254732.1	RP11-691N7.6
ENSG00000233436.7	BTBD18
G013758	Unknown
G013755	Unknown
ENSG00000255303.1	OR5BA1P
ENSG00000255266.1	RP11-734C14.2
G013762	Unknown
G013763	Unknown
ENSG00000180714.3	OR5AZ1P
ENSG00000254749.1	OR5BD1P
ENSG00000254601.1	CYCSP26
G013766	Unknown
ENSG00000186509.4	OR9Q1
ENSG00000200817.1	RNU6-899P
ENSG00000279051.3	OR6Q1
ENSG00000172381.4	OR6Q1
ENSG00000236541.1	VN2R9P
ENSG00000255146.1	RP11-659P15.1
G013760	Unknown
ENSG00000254853.1	RP11-659P15.2
ENSG00000255131.2	OR9L1P
ENSG00000272685.1	OR9I3P
ENSG00000172377.1	OR9I1
ENSG00000186508.4	OR9I2P
G013772	Unknown
ENSG00000272569.1	OR5BL1P
ENSG00000186513.2	OR9Q2
ENSG00000197887.3	OR1S2
ENSG00000172774.7	OR1S1
ENSG00000280204.1	OR1S1
ENSG00000180475.4	OR10Q1
G013775	Unknown
XLOC_009444	NotAvail
ENSG00000254589.1	EIF4A2P3
ENSG00000172772.3	OR10W1
ENSG00000272900.1	OR10Q2P
ENSG00000255218.1	OR5BC1P
G013779	Unknown
ENSG00000255431.1	OR5B19P
ENSG00000255096.2	OR5B10P
ENSG00000255333.1	AP000435.3
ENSG00000197786.3	OR5B17
ENSG00000233499.1	OR5B1P
ENSG00000273408.1	OR5B15P
ENSG00000172769.2	OR5B3
ENSG00000172365.2	OR5B2
ENSG00000172362.2	OR5B12
ENSG00000255299.5	RP11-655C2.3
ENSG00000198283.2	OR5B21
ENSG00000110031.12	LPXN
ENSG00000186660.14	ZFP91
ENSG00000255073.8	ZFP91-CNTF
ENSG00000269570.2	CMB9-55A18.1
ENSG00000242689.2	CNTF
ENSG00000280010.1	AP001350.4
G013786	Unknown
ENSG00000149124.10	GLYAT
G013787_grp1	Unknown
ENSG00000265783.1	AP000445.3
ENSG00000197254.4	AP000445.1
G013787_grp2	Unknown
G013791	Unknown
ENSG00000254926.1	AP000445.2
G013793	Unknown
ENSG00000255265.1	TMA16P1
ENSG00000156689.6	GLYATL2
ENSG00000254717.2	GLYATL1P2
G013797	Unknown
ENSG00000166840.13	GLYATL1
ENSG00000255523.1	RP11-780O24.2
ENSG00000255240.5	RP11-142C4.6
ENSG00000254877.1	RP11-142C4.4
ENSG00000255189.1	GLYATL1P1
ENSG00000254786.1	RP11-142C4.5
G013803	Unknown
ENSG00000254399.2	GLYATL1P4
ENSG00000255151.2	GLYATL1P3
G013800	Unknown
ENSG00000189057.10	FAM111B
ENSG00000245571.6	AP001258.4
ENSG00000255381.1	AP001258.5
ENSG00000166801.15	FAM111A
G013810	Unknown
ENSG00000110042.7	DTX4
ENSG00000197629.5	MPEG1
ENSG00000263999.2	RN7SL42P
ENSG00000225802.3	WARSP1
ENSG00000254799.1	SLC25A47P1
ENSG00000214797.3	RP11-1036E20.9
ENSG00000254704.3	RP11-1036E20.7
G013817	Unknown
ENSG00000263944.2	RN7SL435P
ENSG00000235678.3	OR5AN2P
ENSG00000255386.1	OR5BR1P
ENSG00000176495.2	OR5AN1
ENSG00000198261.3	OR5BB1P
ENSG00000172324.4	OR5A2
ENSG00000172320.2	OR5A1
ENSG00000166884.2	OR4D6
ENSG00000254466.1	OR4D10
ENSG00000204989.3	OR4D8P
G013821	Unknown
ENSG00000176200.1	OR4D11
ENSG00000172742.4	OR4D9
ENSG00000254770.1	OR4D7P
G013827	Unknown
G013828	Unknown
ENSG00000255008.2	AP000442.4
ENSG00000110048.11	OSBP
ENSG00000264559.1	MIR3162
ENSG00000255139.1	AP000442.1
ENSG00000166889.13	PATL1
ENSG00000255355.1	AP000640.2
ENSG00000223223.1	RN7SKP192
ENSG00000172289.2	OR10V1
ENSG00000166900.14	STX3
ENSG00000254403.1	OR10Y1P
ENSG00000254743.1	OR10V3P
ENSG00000255538.1	OR10V2P
ENSG00000254477.1	AP000640.10
ENSG00000234964.4	FABP5P7
G013840	Unknown
ENSG00000166902.4	MRPL16
G013844	Unknown
ENSG00000134812.7	GIF
ENSG00000134827.7	TCN1
XLOC_009139	NotAvail
G013847	Unknown
ENSG00000270929.1	SRD5A3P1
G013848	Unknown
ENSG00000214788.2	OOSP1
ENSG00000255393.1	RP11-736I10.1
ENSG00000149507.6	OOSP2
ENSG00000149516.13	MS4A3
ENSG00000255331.1	RP11-736I10.2
ENSG00000149534.8	MS4A2
G013853	Unknown
G013854	Unknown
ENSG00000254952.1	AP001257.1
ENSG00000110077.14	MS4A6A
G013858	Unknown
ENSG00000214787.8	MS4A4E
ENSG00000275344.1	MIR6503
ENSG00000110079.16	MS4A4A
XLOC_009141	NotAvail
ENSG00000166926.8	MS4A6E
G013862	Unknown
ENSG00000166927.12	MS4A7
ENSG00000166928.10	MS4A14
G013863	Unknown
ENSG00000166930.6	MS4A5
ENSG00000156738.17	MS4A1
ENSG00000071203.9	MS4A12
ENSG00000204979.7	MS4A13
ENSG00000181995.11	LINC00301
ENSG00000166959.7	MS4A8
ENSG00000214782.7	MS4A18
G013875	Unknown
G013876	Unknown
G013877	Unknown
ENSG00000166961.14	MS4A15
ENSG00000172689.1	MS4A10
G013880	Unknown
ENSG00000255845.1	RP11-804A23.1
ENSG00000255959.1	RP11-804A23.2
ENSG00000256813.1	RP11-804A23.4
ENSG00000110104.11	CCDC86
ENSG00000183134.4	PTGDR2
ENSG00000149506.10	ZP1
G013885	Unknown
ENSG00000110107.8	PRPF19
ENSG00000257052.1	RP11-881M11.2
ENSG00000256944.1	RP11-881M11.1
ENSG00000110108.9	TMEM109
ENSG00000256196.1	RP11-881M11.4
ENSG00000006118.14	TMEM132A
ENSG00000110446.9	SLC15A3
ENSG00000013725.14	CD6
G013894	Unknown
ENSG00000207153.1	RNU6-933P
G013895	Unknown
XLOC_009447	NotAvail
XLOC_009143	NotAvail
ENSG00000256733.1	RP11-881M11.8
ENSG00000110448.10	CD5
G013900	Unknown
G013901	Unknown
G013902	Unknown
ENSG00000167987.10	VPS37C
ENSG00000279549.1	AP000437.3
G013904	Unknown
XLOC_009144	NotAvail
G013907	Unknown
ENSG00000229859.8	PGA3
ENSG00000229183.8	PGA4
ENSG00000256220.1	CTD-2331C18.5
ENSG00000256713.7	PGA5
G013909	Unknown
ENSG00000167992.12	VWCE
G013910	Unknown
G013911	Unknown
ENSG00000167986.13	DDB1
ENSG00000149476.14	TKFC
G013913	Unknown
ENSG00000162144.9	CYB561A3
ENSG00000279246.1	RP11-286N22.14
ENSG00000149483.11	TMEM138
G013917	Unknown
G013918	Unknown
ENSG00000187049.9	TMEM216
G013919	Unknown
ENSG00000149532.15	CPSF7
ENSG00000279632.1	RP11-286N22.6
ENSG00000256591.5	RP11-286N22.8
ENSG00000167985.6	SDHAF2
ENSG00000240823.3	RN7SL23P
XLOC_009448	NotAvail
XLOC_009145	NotAvail
XLOC_009449	NotAvail
ENSG00000162148.10	PPP1R32
ENSG00000255931.1	RP11-286N22.10
XLOC_009146	NotAvail
G013925	Unknown
ENSG00000266006.1	MIR4488
ENSG00000204950.3	LRRC10B
G013927	Unknown
ENSG00000011347.9	SYT7
ENSG00000279878.1	RP11-286N22.16
G013928	Unknown
ENSG00000256443.1	RP11-794G24.1
G013926	Unknown
CRCAG_019950	NotAvail
ENSG00000250230.2	RP11-855O10.2
ENSG00000243742.5	RPLP0P2
G013930	Unknown
ENSG00000255947.1	RP11-855O10.3
G013933	Unknown
ENSG00000134780.9	DAGLA
ENSG00000124915.10	DKFZP434K028
ENSG00000124920.13	MYRF
ENSG00000134825.13	TMEM258
ENSG00000207601.1	MIR611
ENSG00000168496.3	FEN1
ENSG00000134824.13	FADS2
ENSG00000149485.16	FADS1
ENSG00000222326.1	MIR1908
G013946	Unknown
ENSG00000221968.8	FADS3
ENSG00000277892.1	MIR6746
ENSG00000167994.11	RAB3IL1
ENSG00000200898.1	RNU6-1243P
ENSG00000167995.15	BEST1
G013952	Unknown
ENSG00000167996.15	FTH1
ENSG00000279491.1	RP11-810P12.7
XLOC_009451	NotAvail
ENSG00000280642.1	Metazoa_SRP
G013955	Unknown
G013956	Unknown
G013957	Unknown
G013958	Unknown
ENSG00000244176.1	RP11-810P12.1
G013962	Unknown
G013963	Unknown
ENSG00000254424.1	RP11-810P12.6
ENSG00000255553.1	RP11-810P12.5
XLOC_009452	NotAvail
ENSG00000149503.12	INCENP
G013968	Unknown
G013969	Unknown
ENSG00000236607.3	EEF1DP8
ENSG00000168515.3	SCGB1D1
XLOC_009453	NotAvail
ENSG00000124939.5	SCGB2A1
ENSG00000254404.1	RP11-703H8.9
G013976	Unknown
ENSG00000124935.3	SCGB1D2
G013979	Unknown
ENSG00000110484.6	SCGB2A2
G013982	Unknown
ENSG00000197745.2	SCGB1D4
ENSG00000255213.1	NPM1P35
ENSG00000255118.1	RP11-703H8.7
ENSG00000162174.12	ASRGL1
G013987	Unknown
ENSG00000254454.2	RCC2P6
ENSG00000265696.1	AP003064.2
ENSG00000255126.1	CTD-2531D15.5
XLOC_009456	NotAvail
G013990	Unknown
ENSG00000149021.6	SCGB1A1
XLOC_009457	NotAvail
ENSG00000255446.1	CTD-2531D15.4
G013993	Unknown
ENSG00000124942.13	AHNAK
ENSG00000238861.1	AP003064.1
G013995	Unknown
G013996	Unknown
ENSG00000250659.2	RP11-864I4.3
ENSG00000257058.1	RP11-864I4.4
ENSG00000254772.9	EEF1G
ENSG00000255508.7	RP11-864I4.1
ENSG00000276102.1	MIR6747
ENSG00000149016.15	TUT1
G013999	Unknown
ENSG00000149480.6	MTA2
ENSG00000149499.11	EML3
ENSG00000254964.1	RP11-831H9.3
ENSG00000149489.8	ROM1
ENSG00000149541.9	B3GAT3
ENSG00000089597.16	GANAB
ENSG00000185085.2	INTS5
ENSG00000255432.1	RP11-831H9.11
ENSG00000278615.4	C11orf98
ENSG00000162194.12	LBHD1
ENSG00000214756.7	METTL12
ENSG00000206597.1	SNORA57
ENSG00000204922.4	UQCC3
ENSG00000162191.13	UBXN1
ENSG00000177363.4	LRRN4CL
ENSG00000168000.14	BSCL2
ENSG00000234857.2	HNRNPUL2-BSCL2
ENSG00000162188.5	GNG3
ENSG00000214753.2	HNRNPUL2
ENSG00000162222.13	TTC9C
G014010	Unknown
ENSG00000185670.7	ZBTB3
ENSG00000168002.11	POLR2G
ENSG00000267811.1	RP11-727F15.11
ENSG00000162227.7	TAF6L
ENSG00000168569.7	TMEM223
ENSG00000269176.2	RP11-727F15.12
ENSG00000185475.8	TMEM179B
ENSG00000274856.1	MIR6748
ENSG00000162231.13	NXF1
ENSG00000274066.1	MIR6514
ENSG00000162236.11	STX5
ENSG00000269463.1	RP11-727F15.13
ENSG00000252361.1	RNU6-118P
G014018	Unknown
ENSG00000256690.1	RP11-727F15.9
ENSG00000133316.15	WDR74
G014020	Unknown
ENSG00000222328.1	RNU2-2P
G014021	Unknown
ENSG00000255717.6	SNHG1
ENSG00000277194.1	SNORD22
ENSG00000277846.1	SNORD30
ENSG00000278527.1	SNORD22
ENSG00000274544.1	SNORD28
ENSG00000275996.1	SNORD27
ENSG00000276788.1	SNORD26
ENSG00000275043.1	SNORD25
ENSG00000168003.16	SLC3A2
ENSG00000168539.3	CHRM1
ENSG00000257002.1	AP000438.2
G014028	Unknown
G014029_grp1	Unknown
ENSG00000241082.3	RN7SL259P
ENSG00000197901.11	SLC22A6
G014030	Unknown
G014029_grp2	Unknown
ENSG00000149452.15	SLC22A8
ENSG00000256041.1	RP11-959F10.4
ENSG00000253547.2	RP11-959F10.5
ENSG00000197658.9	SLC22A24
ENSG00000239924.1	RPL29P22
ENSG00000184999.11	SLC22A10
G014038	Unknown
ENSG00000196600.12	SLC22A25
ENSG00000256863.1	RP11-959F10.6
ENSG00000256847.1	CCND2P1
ENSG00000256181.1	AP000438.4
ENSG00000149742.9	SLC22A9
G014040	Unknown
ENSG00000168004.9	HRASLS5
ENSG00000275598.1	CMB9-14B22.1
XLOC_009152	NotAvail
ENSG00000133317.14	LGALS12
G014044	Unknown
XLOC_009153	NotAvail
ENSG00000133321.10	RARRES3
G014047	Unknown
ENSG00000133328.3	HRASLS2
G014049	Unknown
ENSG00000176485.10	PLA2G16
ENSG00000203520.3	RP11-697H9.3
ENSG00000184743.12	ATL3
ENSG00000270269.1	IMMP1LP1
ENSG00000256789.1	RP11-697H9.2
ENSG00000133318.13	RTN3
ENSG00000271100.1	RP11-697H9.5
G014056	Unknown
ENSG00000188070.9	C11orf95
G014058	Unknown
XLOC_009458	NotAvail
G014059	Unknown
ENSG00000264519.2	RN7SL596P
ENSG00000168005.8	C11orf84
G014061	Unknown
G014060	Unknown
ENSG00000256280.1	RP11-466C23.5
ENSG00000072518.20	MARK2
ENSG00000202089.1	RNU6-1306P
G014063	Unknown
ENSG00000167771.5	RCOR2
G014065	Unknown
G014066	Unknown
ENSG00000110583.12	NAA40
G014069	Unknown
ENSG00000207200.1	RNU6-45P
ENSG00000176340.3	COX8A
ENSG00000256100.1	AP000721.4
ENSG00000278375.1	AP000721.1
ENSG00000167770.11	OTUB1
ENSG00000133315.10	MACROD1
G014071	Unknown
ENSG00000256824.1	RP11-21A7A.2
ENSG00000256481.1	RP11-21A7A.4
G014075	Unknown
ENSG00000126500.3	FLRT1
ENSG00000256341.1	RP11-21A7A.3
G014076	Unknown
XLOC_009459	NotAvail
ENSG00000168439.16	STIP1
ENSG00000149781.12	FERMT3
G014080	Unknown
ENSG00000149743.13	TRPT1
ENSG00000149761.8	NUDT22
ENSG00000256116.1	RP11-783K16.14
ENSG00000110011.13	DNAJC4
ENSG00000173511.9	VEGFB
ENSG00000173486.12	FKBP2
ENSG00000173457.10	PPP1R14B
ENSG00000256940.1	RP11-783K16.5
ENSG00000257086.1	RP11-783K16.13
ENSG00000149782.11	PLCB3
ENSG00000002330.13	BAD
ENSG00000173264.13	GPR137
ENSG00000182450.12	KCNK4
ENSG00000257069.5	RP11-783K16.10
ENSG00000207024.1	Y_RNA
ENSG00000219435.4	TEX40
ENSG00000173153.13	ESRRA
ENSG00000278148.1	AP001453.1
ENSG00000173113.6	TRMT112
ENSG00000126432.13	PRDX5
ENSG00000236935.1	AP003774.1
ENSG00000168071.21	CCDC88B
ENSG00000278359.1	MIR7155
ENSG00000162302.12	RPS6KA4
ENSG00000221273.1	MIR1237
G014093	Unknown
G014094	Unknown
G014095	Unknown
ENSG00000231680.1	AP003774.6
G014097	Unknown
XLOC_009464	NotAvail
ENSG00000231492.2	AP003774.5
G014100	Unknown
ENSG00000181908.5	AP003774.4
G014105	Unknown
G014106	Unknown
G014107	Unknown
ENSG00000232500.1	AP005273.1
G014109	Unknown
G014110	Unknown
ENSG00000237363.1	AP006288.1
G014113	Unknown
G014114	Unknown
G014115	Unknown
ENSG00000168065.15	SLC22A11
ENSG00000197891.11	SLC22A12
ENSG00000110076.18	NRXN2
ENSG00000237410.1	AP001092.4
G014121	Unknown
G014122	Unknown
G014123	Unknown
ENSG00000068831.18	RASGRP2
ENSG00000068976.13	PYGM
G014125	Unknown
ENSG00000168066.20	SF1
ENSG00000269038.1	AP001462.6
G014126	Unknown
ENSG00000168067.11	MAP4K2
ENSG00000133895.14	MEN1
ENSG00000171219.8	CDC42BPG
ENSG00000110047.17	EHD1
ENSG00000230835.1	AP001187.11
ENSG00000229719.3	AP001187.9
ENSG00000207648.2	MIR192
ENSG00000277225.1	MIR194-2
ENSG00000110046.12	ATG2A
ENSG00000274986.1	MIR6750
ENSG00000274314.1	MIR6749
ENSG00000068971.13	PPP2R5B
ENSG00000281443.1	AP001187.1
ENSG00000149735.6	GPHA2
ENSG00000168070.11	C11orf85
G014134	Unknown
ENSG00000168062.9	BATF2
ENSG00000213465.7	ARL2
ENSG00000273003.1	ARL2-SNX15
ENSG00000278851.1	MIR6879
ENSG00000270775.1	AP000436.4
ENSG00000110025.12	SNX15
ENSG00000168061.13	SAC3D1
ENSG00000168060.14	NAALADL1
G014139	Unknown
ENSG00000146670.9	CDCA5
G014141	Unknown
ENSG00000162300.11	ZFPL1
ENSG00000187066.8	TMEM262
ENSG00000149823.7	VPS51
ENSG00000254501.1	AP003068.9
ENSG00000149809.14	TM7SF2
ENSG00000174276.6	ZNHIT2
ENSG00000255173.1	AP003068.12
ENSG00000278952.1	RP11-399J13.2
ENSG00000149806.10	FAU
ENSG00000162298.16	SYVN1
ENSG00000149792.8	MRPL49
ENSG00000277547.1	MIR6751
G014152	Unknown
ENSG00000254455.1	HIGD1AP10
ENSG00000222477.1	RNU2-23P
ENSG00000255058.1	PDCL2P2
ENSG00000204710.2	SPDYC
ENSG00000255200.1	AP003068.18
ENSG00000249251.1	PGAM1P8
ENSG00000254614.2	AP003068.23
ENSG00000014216.15	CAPN1
ENSG00000197847.12	SLC22A20
G014158	Unknown
G014159	Unknown
ENSG00000014138.8	POLA2
G014163	Unknown
ENSG00000274509.1	AP000944.1
G014164	Unknown
CRCAG_019125	NotAvail
ENSG00000149798.4	CDC42EP2
G014165	Unknown
ENSG00000133884.9	DPF2
ENSG00000173825.6	TIGD3
ENSG00000255478.1	RP11-867O8.5
ENSG00000162241.12	SLC25A45
ENSG00000126391.13	FRMD8
ENSG00000245532.5	NEAT1
ENSG00000278144.1	NEAT1_1
ENSG00000278050.1	NEAT1_2
ENSG00000277599.1	NEAT1_3
ENSG00000273834.1	MIR612
G014175	Unknown
ENSG00000275948.1	mascRNA-menRNA
XLOC_009167	NotAvail
ENSG00000173727.11	CMB9-22P13.1
G014176	Unknown
G014177	Unknown
ENSG00000279243.1	CMB9-22P13.2
G014181	Unknown
ENSG00000251562.7	MALAT1
ENSG00000270117.1	AP000769.7
ENSG00000279576.1	MALAT1
XLOC_009474	NotAvail
ENSG00000278217.1	MALAT1
ENSG00000274072.1	mascRNA-menRNA
ENSG00000270526.1	SNRPGP19
ENSG00000142186.16	SCYL1
ENSG00000168056.14	LTBP3
ENSG00000279093.1	RP11-856B14.10
ENSG00000260233.3	SSSCA1-AS1
ENSG00000173465.7	SSSCA1
G014193	Unknown
ENSG00000176973.7	FAM89B
ENSG00000173442.11	EHBP1L1
ENSG00000213445.8	SIPA1
ENSG00000173338.12	KCNK7
ENSG00000173327.7	MAP3K11
ENSG00000197136.4	PCNXL3
ENSG00000266041.1	MIR4690
ENSG00000265874.1	MIR4489
ENSG00000173039.18	RELA
G014198	Unknown
G014199	Unknown
G014200	Unknown
ENSG00000239356.3	RN7SL309P
ENSG00000172977.12	KAT5
ENSG00000172922.8	RNASEH2C
ENSG00000214659.4	KRT8P26
G014208	Unknown
ENSG00000255557.1	RP11-770G2.2
G014210	Unknown
ENSG00000254470.2	AP5B1
ENSG00000172818.9	OVOL1
ENSG00000255120.5	OVOL1-AS1
ENSG00000255404.1	RP11-770G2.5
XLOC_009475	NotAvail
ENSG00000172757.12	CFL1
ENSG00000172803.17	SNX32
ENSG00000172732.11	MUS81
ENSG00000172638.12	EFEMP2
G014224	Unknown
ENSG00000172543.7	CTSW
ENSG00000172500.12	FIBP
ENSG00000175602.3	CCDC85B
ENSG00000175592.8	FOSL1
G014228	Unknown
G014229_grp1	Unknown
ENSG00000175573.6	C11orf68
ENSG00000175550.7	DRAP1
G014229_grp2	Unknown
G014231	Unknown
ENSG00000175513.9	TSGA10IP
ENSG00000175467.14	SART1
ENSG00000254867.1	RP11-1167A19.6
G014234	Unknown
ENSG00000175376.8	EIF1AD
ENSG00000175334.7	BANF1
G014236	Unknown
G014238	Unknown
ENSG00000175315.2	CST6
G014240	Unknown
ENSG00000175294.5	CATSPER1
G014243	Unknown
ENSG00000175229.6	GAL3ST3
ENSG00000087365.14	SF3B2
ENSG00000255038.1	RP11-1167A19.2
ENSG00000175115.11	PACS1
G014246	Unknown
ENSG00000281025.1	Metazoa_SRP
ENSG00000255320.1	RP11-755F10.1
ENSG00000174996.11	KLC2
ENSG00000254461.1	RP11-755F10.3
ENSG00000280605.1	AP001107.1
ENSG00000254855.1	RP11-867G23.1
ENSG00000254762.1	RP11-867G23.2
ENSG00000174903.14	RAB1B
ENSG00000245156.1	RP11-867G23.3
ENSG00000254452.1	RP11-867G23.4
ENSG00000174871.10	CNIH2
ENSG00000174851.14	YIF1A
G014253	Unknown
ENSG00000179292.4	TMEM151A
ENSG00000254458.1	RP11-867G23.13
ENSG00000174807.3	CD248
ENSG00000174791.10	RIN1
ENSG00000254756.1	RP11-867G23.12
ENSG00000174744.13	BRMS1
ENSG00000174684.6	B4GAT1
ENSG00000255468.6	RP11-867G23.8
ENSG00000174669.11	SLC29A2
ENSG00000276918.1	Metazoa_SRP
ENSG00000254736.1	BRD9P1
ENSG00000202317.1	RNU1-84P
G014265	Unknown
ENSG00000254510.1	RP11-867G23.10
ENSG00000174576.8	NPAS4
ENSG00000201733.1	SNORA43
ENSG00000174547.13	MRPL11
ENSG00000254596.1	CTD-3074O7.7
ENSG00000174516.14	PELI3
ENSG00000255517.6	CTD-3074O7.5
ENSG00000254986.7	DPP3
ENSG00000256349.1	CTD-3074O7.11
ENSG00000174483.19	BBS1
ENSG00000174165.7	ZDHHC24
ENSG00000248746.5	ACTN3
ENSG00000250105.1	CTD-3074O7.2
ENSG00000174080.10	CTSF
ENSG00000182791.4	CCDC87
ENSG00000173992.8	CCS
G014281	Unknown
G014282	Unknown
G014283	Unknown
ENSG00000199325.1	RNU4-39P
ENSG00000239306.4	RBM14
ENSG00000248643.5	RBM14-RBM4
G014285	Unknown
ENSG00000173933.19	RBM4
ENSG00000258297.1	RP11-658F2.8
ENSG00000173914.11	RBM4B
G014291	Unknown
ENSG00000173898.11	SPTBN2
ENSG00000239553.3	RN7SL12P
ENSG00000173715.15	C11orf80
ENSG00000213409.4	C1QBPP2
ENSG00000254984.1	FTLP6
G014296	Unknown
G014297	Unknown
ENSG00000173653.7	RCE1
G014299	Unknown
ENSG00000173599.13	PC
ENSG00000173621.8	LRFN4
G014301	Unknown
ENSG00000274255.1	AP003176.1
G014302	Unknown
ENSG00000239099.1	RNU7-23P
G014303	Unknown
ENSG00000266423.1	MIR3163
G014304	Unknown
ENSG00000173237.4	C11orf86
G014308	Unknown
ENSG00000173227.13	SYT12
MIR6860	MIR6860
ENSG00000173156.6	RHOD
G014311	Unknown
G014312	Unknown
ENSG00000173120.14	KDM2A
ENSG00000179038.8	RP11-157K17.5
G014316	Unknown
G014317	Unknown
ENSG00000173020.10	ADRBK1
ENSG00000172932.14	ANKRD13D
ENSG00000172830.12	SSH3
ENSG00000275200.1	AP001885.1
G014319	Unknown
ENSG00000172613.7	RAD9A
ENSG00000175482.8	POLD4
ENSG00000256514.1	AP003419.11
ENSG00000274251.1	CTC-1337H24.3
ENSG00000201684.1	RN7SKP239
ENSG00000175505.10	CLCF1
ENSG00000275484.1	CTC-1337H24.4
G014321	Unknown
ENSG00000253024.1	RNU6-1238P
ENSG00000172531.14	PPP1CA
ENSG00000175463.11	TBC1D10C
G014326	Unknown
ENSG00000172508.10	CARNS1
G014327	Unknown
ENSG00000175634.14	RPS6KB2
ENSG00000255949.1	AP003419.16
ENSG00000213402.2	PTPRCAP
ENSG00000172725.13	CORO1B
G014329	Unknown
ENSG00000175514.2	GPR152
ENSG00000175544.13	CABP4
ENSG00000172663.8	TMEM134
ENSG00000110711.9	AIP
ENSG00000276769.1	MIR6752
ENSG00000110697.12	PITPNM1
ENSG00000167797.7	CDK2AP2
ENSG00000167791.11	CABP2
XLOC_009480	NotAvail
ENSG00000084207.15	GSTP1
G014340	Unknown
ENSG00000184224.3	C11orf72
ENSG00000255119.1	RP11-655M14.12
ENSG00000167792.11	NDUFV1
ENSG00000231793.4	DOC2GP
ENSG00000255318.1	RP11-655M14.13
ENSG00000167799.9	NUDT8
ENSG00000167800.9	TBX10
G014345	Unknown
G014346	Unknown
ENSG00000132744.7	ACY3
ENSG00000227834.1	AP003385.2
G014349	Unknown
ENSG00000132746.14	ALDH3B2
G014352	Unknown
G014354	Unknown
ENSG00000239559.2	RPL37P2
ENSG00000184795.9	UNC93B5
G014358	Unknown
ENSG00000235855.3	OR7E145P
G014360	Unknown
ENSG00000266451.1	AP003385.1
ENSG00000254447.1	OR7E11P
ENSG00000254883.1	RP11-655M14.14
ENSG00000255147.1	RP11-655M14.4
XLOC_009180	NotAvail
ENSG00000227620.4	ALG1L8P
ENSG00000160172.10	FAM86C2P
ENSG00000273819.1	ENPP7P7
CRCAG_019182	NotAvail
ENSG00000254792.1	RP11-119D9.4
ENSG00000251637.6	RP11-119D9.1
ENSG00000206587.1	RNU6-46P
ENSG00000243672.1	RPS3AP40
ENSG00000221553.1	AC004924.1
ENSG00000254610.2	RP5-903G2.2
ENSG00000254850.2	RP5-901A4.4
ENSG00000255230.1	RP5-901A4.5
ENSG00000255554.1	OR7E1P
ENSG00000110057.7	UNC93B1
G014378	Unknown
ENSG00000006534.15	ALDH3B1
ENSG00000255306.1	RP5-901A4.1
ENSG00000110717.10	NDUFS8
ENSG00000277703.1	MIR7113
ENSG00000266737.1	MIR4691
ENSG00000110719.9	TCIRG1
ENSG00000275022.1	MIR6753
ENSG00000255031.5	RP11-802E16.3
ENSG00000110721.11	CHKA
